A,B,C,D
4.65482049078123,-8.867412082484408,9.050228561919438,2
-0.08283409071888928,0.8482928232293039,-0.2536934023809736,1
-0.23818252078303287,2.4137449076336903,0.5534184021867949,1
5.333203420422651,-9.605256480902515,8.981490858949323,2
2.223648486191183,2.4218984038614706,-0.8238396101156815,1
-9.894337550402865,-4.030972246134926,-6.026705204450328,0
4.7341643663755235,-9.482171918330272,8.588196756737378,2
0.26292662565259506,5.542676437403425,3.1335983972780275,1
-1.2884887470690953,5.951401320827036,2.6324737605955755,1
-9.64503116321853,-4.878286007415921,-5.5074357089273045,0
5.092975705727126,-9.831389877474347,9.952693973148678,2
-9.879241347904511,-2.8337977425606757,-3.8724190439569295,0
-9.526946923882909,-7.356829804067675,-5.290328533366851,0
-8.589751837194699,-6.204939214849817,-6.901091238244494,0
-10.608811320516073,-4.441089517443482,-4.210951256401973,0
4.003397654934226,0.7987787084633169,3.2788201519861024,1
4.010946346017114,-10.300324493191177,8.058475025728404,2
-9.631278382252322,-5.944208702278507,-5.073256833137048,0
4.547158942100763,-9.299934735950352,8.75481869327058,2
-1.6829112044484718,-1.8504175246182415,1.3491584776167147,1
4.70739513428164,-8.902811812612125,8.80554982502036,2
-9.956757679540353,-6.420885922272472,-4.286555084487056,0
5.371892475940182,-8.449995204691055,9.149324638629121,2
5.8382126258207,-9.073768806494531,9.632334149070848,2
4.864130164928351,-9.718487292623319,8.488972740273526,2
-8.659168883884462,-5.991379333576915,-0.5738739724713087,0
-2.953119767754633,-1.7223077334258101,-0.16187411601189028,1
2.336240465732494,-1.815937240018639,-2.012517732254449,1
3.515557706851557,3.95138092723076,0.046194328403633134,1
4.662106790835014,-9.343377944451525,9.368331473484716,2
4.875440872982987,-9.38111827707097,9.361264728981022,2
-8.823052208263036,-6.79535614582919,-3.314310769763398,0
1.068200690083711,-1.0915163883141452,-4.256379814727165,1
4.108226481604937,-9.657561101241651,9.015573598470636,2
-8.220408974804073,-6.338935474234299,-4.7104281247345545,0
-8.206208386660604,-5.1305107988884275,-4.232985174189906,0
-1.3475541684184258,-1.0134567823214788,-0.650465232334219,1
-0.9072113302474855,1.0141166295497217,2.080354443526398,1
5.182304388320531,-9.900638829315762,9.560883781455976,2
-9.430741622879204,-3.862054621556581,-4.480464151512628,0
-8.574518534994505,-5.380233101714895,-5.192154524418908,0
5.398447133846089,-10.243856392332834,9.32053315724383,2
-9.0920748888172,-6.006494280891797,-4.074083685893791,0
5.766702726140734,-8.929779231110718,9.374787747228385,2
5.929497236120683,-10.787155825714887,9.0779743359286,2
-7.587367972007449,-6.70382567023936,-4.779964978813144,0
-9.94617183693277,-3.9224574442610156,-4.695710051509657,0
-9.513540026503266,-6.133217220644159,-5.413430160592909,0
-8.648098129468252,-6.546934452745949,-3.1641645176001996,0
-7.992347131724822,-5.8061431673803465,-4.376804695141696,0
-11.466274545305334,-4.8706561712263134,-4.994874370327421,0
5.2328645432370715,-10.01732213848439,8.742209010855584,2
-6.793079607103052,-4.123362871421437,-4.913236304197278,0
4.540840893948876,-9.808957418956476,9.93662088230904,2
5.276615869115378,-10.238301992192705,9.42738236856141,2
4.926274322755201,-9.362600120231297,9.001588098313151,2
-8.216199876623774,-4.67483935877734,-5.802540631309847,0
0.43461665727550136,0.9525834316851868,0.04007878020428807,1
-7.506086766496751,-7.692620412902473,-5.1187341545152805,0
4.1431445159561475,-8.71643307599818,8.986672084469644,2
4.563935610572311,-9.874265278471876,8.957266805055982,2
-8.825342498182463,-5.323132043623014,-6.010829294738899,0
1.826403718327503,3.2042835516014487,3.777544958505379,1
3.9338737309097063,-9.969971252501232,9.639580965886909,2
5.001360103198384,-10.061302797570892,8.427765415622146,2
4.7649676362356725,-10.456121826796105,8.240974270413165,2
4.648325530990944,-8.317808688194004,9.236496958698382,2
0.27159103230527004,0.34622079158726304,-3.804505995679963,1
-1.630472604082323,-2.0172570261917677,0.41233857972068166,1
4.2036936022968385,0.5413362828529289,-0.6355007902883398,1
-0.059509565901736394,2.9238332554985607,-0.41684659730145657,1
6.206370669689353,-9.427993201244046,9.220727433798128,2
-8.20174388761498,-5.434722648255015,-3.6951973109829304,0
-0.37791894504580265,2.6849966877027605,0.8327402991355888,1
-0.12527743761266666,-1.9714238681326566,1.3497340467774213,1
-2.026579659881546,3.5904883766298683,0.9339618030132697,1
-7.75480848275571,-3.9943894554617856,-3.576640267973276,0
0.5386777543875969,3.381814300271619,-3.2735963318051784,1
