,Department,Status,Age,Salary
0,0,0,2,4
1,0,0,2,4
2,0,0,2,4
3,0,0,2,4
4,0,0,2,4
5,0,0,2,4
6,0,0,2,4
7,0,0,2,4
8,0,0,2,4
9,0,0,2,4
10,0,0,2,4
11,0,0,2,4
12,0,0,2,4
13,0,0,2,4
14,0,0,2,4
15,0,0,2,4
16,0,0,2,4
17,0,0,2,4
18,0,0,2,4
19,0,0,2,4
20,0,0,2,4
21,0,0,2,4
22,0,0,2,4
23,0,0,2,4
24,0,0,2,4
25,0,0,2,4
26,0,0,2,4
27,0,0,2,4
28,0,0,2,4
29,0,0,2,4
30,0,1,1,0
31,0,1,1,0
32,0,1,1,0
33,0,1,1,0
34,0,1,1,0
35,0,1,1,0
36,0,1,1,0
37,0,1,1,0
38,0,1,1,0
39,0,1,1,0
40,0,1,1,0
41,0,1,1,0
42,0,1,1,0
43,0,1,1,0
44,0,1,1,0
45,0,1,1,0
46,0,1,1,0
47,0,1,1,0
48,0,1,1,0
49,0,1,1,0
50,0,1,1,0
51,0,1,1,0
52,0,1,1,0
53,0,1,1,0
54,0,1,1,0
55,0,1,1,0
56,0,1,1,0
57,0,1,1,0
58,0,1,1,0
59,0,1,1,0
60,0,1,1,0
61,0,1,1,0
62,0,1,1,0
63,0,1,1,0
64,0,1,1,0
65,0,1,1,0
66,0,1,1,0
67,0,1,1,0
68,0,1,1,0
69,0,1,1,0
70,0,1,2,1
71,0,1,2,1
72,0,1,2,1
73,0,1,2,1
74,0,1,2,1
75,0,1,2,1
76,0,1,2,1
77,0,1,2,1
78,0,1,2,1
79,0,1,2,1
80,0,1,2,1
81,0,1,2,1
82,0,1,2,1
83,0,1,2,1
84,0,1,2,1
85,0,1,2,1
86,0,1,2,1
87,0,1,2,1
88,0,1,2,1
89,0,1,2,1
90,0,1,2,1
91,0,1,2,1
92,0,1,2,1
93,0,1,2,1
94,0,1,2,1
95,0,1,2,1
96,0,1,2,1
97,0,1,2,1
98,0,1,2,1
99,0,1,2,1
100,0,1,2,1
101,0,1,2,1
102,0,1,2,1
103,0,1,2,1
104,0,1,2,1
105,0,1,2,1
106,0,1,2,1
107,0,1,2,1
108,0,1,2,1
109,0,1,2,1
110,1,1,0,4
111,1,1,0,4
112,1,1,0,4
113,1,1,0,4
114,1,1,0,4
115,1,1,0,4
116,1,1,0,4
117,1,1,0,4
118,1,1,0,4
119,1,1,0,4
120,1,1,0,4
121,1,1,0,4
122,1,1,0,4
123,1,1,0,4
124,1,1,0,4
125,1,1,0,4
126,1,1,0,4
127,1,1,0,4
128,1,1,0,4
129,1,1,0,4
130,1,0,2,5
131,1,0,2,5
132,1,0,2,5
133,1,0,2,5
134,1,0,2,5
135,1,1,1,4
136,1,1,1,4
137,1,1,1,4
138,1,0,4,5
139,1,0,4,5
140,1,0,4,5
141,2,0,3,4
142,2,0,3,4
143,2,0,3,4
144,2,0,3,4
145,2,0,3,4
146,2,0,3,4
147,2,0,3,4
148,2,0,3,4
149,2,0,3,4
150,2,0,3,4
151,2,1,2,3
152,2,1,2,3
153,2,1,2,3
154,2,1,2,3
155,3,0,5,2
156,3,0,5,2
157,3,0,5,2
158,3,0,5,2
159,3,1,1,0
160,3,1,1,0
161,3,1,1,0
162,3,1,1,0
163,3,1,1,0
164,3,1,1,0
